date,BTC,WAVES,NEOS,BLK,POT,STRAT,AUR,NAV,VIA,VTC,PPC,CURE,NXT,GRC,NEO,DASH,MONA,AEON,STEEM,LTC,XCP,CLAM,EXP,NXS,ETH,XRP,AMP,DOGE,DCR,ENRG,BCY,REP,ETC,NLG,SYS,XLM,DGB,IOC,CLOAK,ZEC,LSK,SLR,BURST,EMC,SBD,XMR,FTC
1483250400,999,0.21604374,0.06482511,0.02691306,0.01495503,0.07441551,0.10861128,0.03818178,0.03203793,0.03377619,0.24154821,0.04098897,0.00595404,0.00743256,0.14857128,11.47730121,0.02299698,0.10428561,0.16179804,4.51722825,1.81030788,0.82020897,0.21489489,0.02676321,8.13100086,0.00631368,0.04001994,0.00022977,0.49124826,0.00626373,0.11121867,4.0057902,1.3942044,0.02489508,0.00860139,0.00244755,0.00024975,0.36888075,0.18345636,47.98460736,0.14991993,0.08002989,0.00053946,0.19874106,0.98901999,13.94212392,0.00610389
1483336800,1019,0.22643199,0.06575607,0.02594374,0.01654856,0.074387,0.12228,0.04076,0.02989746,0.03711198,0.25030716,0.03914998,0.0059102,0.00730623,0.14443306,12.02167288,0.02301921,0.11685892,0.15588662,4.5495293,1.87371682,0.8562657,0.20474767,0.03255705,8.31889182,0.00629742,0.03856915,0.00021399,0.48311809,0.00598153,0.11447446,4.18333127,1.42864819,0.02361023,0.00840675,0.00243541,0.00025475,0.39176474,0.22418,48.91263178,0.15443964,0.08112259,0.00055026,0.19412969,0.98843,16.15115,0.00604267
1483423200,1038.99,0.23587151,0.064053734,0.02599553,0.017143335,0.075742371,0.124990497,0.042234944,0.042681709,0.036884145,0.257534451,0.039554349,0.005911853,0.006680706,0.138403858,12.779577,0.023408445,0.131598473,0.157001779,4.592959194,1.986393032,0.907962971,0.207465523,0.03432823,9.59921822,0.006514467,0.043502511,0.000218188,0.465945455,0.00624433,0.113987593,4.245126122,1.466503215,0.02389677,0.008748296,0.002607865,0.000270137,0.403907363,0.251290121,49.559823,0.158103108,0.076064458,0.000571445,0.206374584,0.98289493,15.92745695,0.006005362
1483509600,1090.53,0.228782289,0.062541896,0.029673321,0.018157325,0.07742763,0.1308636,0.043708442,0.035703952,0.03598749,0.272861511,0.038179455,0.005910673,0.006684949,0.125421855,15.77995819,0.023599069,0.162467159,0.163612216,4.496658686,2.029858016,0.915947052,0.214027418,0.035900248,10.65154457,0.00619421,0.04724176,0.000218106,0.583291781,0.005594419,0.109031189,4.645734137,1.638761242,0.027623125,0.008778767,0.002562746,0.000272633,0.447150016,0.235794397,52.35316095,0.165989571,0.074439578,0.000588886,0.216339341,0.9596664,17.44846909,0.006434127
1483596000,1020,0.2396694,0.0571404,0.0292026,0.0179112,0.0722976,0.1244604,0.043605,0.0343434,0.0342312,0.2627112,0.03519,0.0059262,0.0060588,0.1419738,14.5164156,0.026112,0.1380876,0.1575186,4.3443024,1.9480062,0.9286692,0.2050608,0.0408,10.3175856,0.006273,0.0397698,0.0002244,0.5550126,0.004743,0.1090482,5.310477,1.6449132,0.0260712,0.0082416,0.002652,0.0002754,0.4310112,0.210018,48.9755244,0.16014,0.0716652,0.000561,0.202572,1.0404,16.32,0.0060894
1483682400,900.949,0.210840085,0.052300089,0.026767195,0.016649538,0.063516905,0.109915778,0.039353452,0.031109769,0.029614194,0.244058075,0.032911667,0.005847159,0.005369656,0.135511739,11.97361221,0.022172355,0.121646134,0.159431935,3.89209968,1.825466826,0.817413009,0.194956354,0.044858251,10.20348167,0.006387728,0.038020048,0.000216228,0.548614875,0.0037029,0.09698716,5.1354093,1.47755636,0.022145326,0.007973399,0.002486619,0.000333351,0.369262957,0.190100239,47.10768612,0.141962534,0.063697094,0.000504531,0.190469628,1.000062399,14.0548044,0.005612912
1483768800,900.9215525,0.2162482,0.056550846,0.028901563,0.016585966,0.062875315,0.111714273,0.041027967,0.03100972,0.02985654,0.254456283,0.036910756,0.006135276,0.005360483,0.131111114,12.78989678,0.023478016,0.126129017,0.154508046,3.952135639,1.949026659,0.837857044,0.187328618,0.042586562,9.792008243,0.006324469,0.039748659,0.000216221,0.647870707,0.005135253,0.092065173,4.608042566,1.441042042,0.024703269,0.007711888,0.002360414,0.000324332,0.355269405,0.190004355,46.61022159,0.142210467,0.063010453,0.000531544,0.18053567,0.991013708,12.75544554,0.005675806
1483855200,885.0000006,0.2087715,0.0565161,0.02793945,0.01848765,0.05827725,0.1062708,0.03894,0.03539115,0.0294528,0.23934825,0.03452385,0.0059118,0.00517725,0.128856,12.32847481,0.0228684,0.12631605,0.1512996,3.860104503,2.123920351,0.858432301,0.1898679,0.044427,9.982640707,0.0060357,0.0374178,0.0002124,0.800057701,0.0052215,0.0964473,4.608141903,1.400432851,0.02303655,0.0081774,0.002301,0.00034515,0.34892895,0.16815885,44.32407453,0.15477765,0.0618615,0.00048675,0.1818498,0.973349551,12.99926941,0.00561975
1483941600,905,0.22037655,0.062626,0.0285618,0.01651625,0.05519595,0.10960455,0.0398019,0.0339013,0.02896,0.24593375,0.03434475,0.0058463,0.00558385,0.1237859,12.55458535,0.0239282,0.12857335,0.14661,4.31394495,2.2872789,0.82766775,0.20131725,0.04569345,10.319353,0.0062445,0.0431685,0.0002172,0.81228275,0.0051585,0.09997535,4.2373367,1.4211758,0.0224259,0.0092129,0.0023349,0.00029865,0.3360808,0.18654765,45.92875,0.14741545,0.0655944,0.0005249,0.1837874,0.9867034,13.48744125,0.0055386
1484028000,915.6999845,0.223705506,0.063430538,0.029659522,0.015859924,0.058073693,0.114462498,0.041224813,0.036975965,0.031216212,0.256386839,0.035025524,0.005878794,0.005604084,0.130652074,12.59321898,0.023588432,0.123875894,0.149735261,4.66289999,2.250470067,0.810843179,0.202937431,0.049978905,10.59472208,0.006831122,0.049447799,0.000228925,0.711608772,0.00521949,0.110332691,4.212311499,1.433262773,0.022572005,0.008992174,0.002362506,0.000265553,0.328644724,0.189678095,45.43862655,0.154533529,0.063338968,0.000540263,0.192516765,0.99812214,13.40573789,0.005988678
