portfolio,total_fees,num_trades,num_trades_saved,taxes_HODL,end_price_HODL,taxes_rebalanced,end_price_rebalanced
BCY-NEOS-CURE-AUR-XMG,814.7796561403728,594,0,1185.3929723870197,9741.571889548079,12142.506526825231,23432.15257914712
ETC-ETH-NEO-FLO-NEOS,991.6728030345213,592,42,20152.018481075927,85608.07392430371,15724.742885996748,44495.23317412965
PTC-CLAM-VTC-EXP-SPR,1210.5692819161773,768,0,2831.222047582233,16324.888190328931,13700.367538310657,31294.953077844177
XMR-BLK-ZEC-XCP-CURE,562.5304455337787,590,0,1869.8151446926458,12479.260578770583,8174.038446062838,21790.60357529322
ZCL-BSD-IOC-ENRG-XLM,2392.767143341487,828,0,3687.1113371990577,19748.44534879623,31055.422169728925,74255.68973827834
XMG-SBD-AEON-SEQ-ETH,2107.413512198134,744,0,3596.109762537015,19384.43905014806,28428.80656496812,63367.78704246695
BYC-SEQ-PTC-DOPE-NEO,5950.863397139173,794,0,23108.862388830392,97435.44955532157,84865.17346381971,178809.34468103852
SPR-XLM-NEO-NEOS-NXT,2855.437613500669,816,0,21444.803836218816,90779.21534487527,39568.98701144204,88561.23893283027
XCP-EBST-POT-STRAT-XVG,3305.220557623075,838,0,12869.807306137807,56479.22922455123,44058.35685341594,89074.89962684868
TX-XMR-XVG-DOPE-POT,3636.1965691792802,800,0,13878.190509646001,60512.762038584005,54213.49258285162,111925.24888953043
BYC-DOGE-XMY-RBY-VIA,1239.2395803932318,744,0,2735.9209145077384,15943.683658030954,15810.332613457284,39870.979908943045
NXS-BSD-ERC-DCR-BYC,1427.0925931899835,706,0,4679.959377923084,23719.837511692334,19277.44401339987,61774.81685796482
ZCL-NXS-CURE-ETH-GRC,2123.2868813513464,812,0,3467.8046643330927,18871.21865733237,25133.829336359417,70479.91918285226
ZEC-NEO-BCY-IOC-ETC,802.0099018681618,636,0,19306.77463368737,82227.09853474949,11451.158002301649,29662.364063697605
IOC-SBD-XMY-FTC-DASH,1698.3877581826216,712,0,2543.698812147313,15174.795248589253,22222.796843780954,44539.327360438205
VRM-BTC-PPC-LSK-BURST,783.4383667194144,516,104,4203.569193108623,21814.276772434492,15692.630338144903,38607.133961324056
DGB-NLG-WAVES-NEOS-LSK,753.3308456288534,652,0,3269.1091028025876,18076.43641121035,10266.502085090748,26918.57900926766
WAVES-BRK-NEOS-MONA-RDD,1896.5904673868076,708,0,5791.515173993487,28166.06069597395,28319.49841377468,61904.78721948365
NEO-SLR-XCP-CLAM-DMD,1417.8589426697324,654,0,20131.505940556315,85526.02376222526,23408.065625442196,46732.31810477609
NXT-GRC-RBY-POT-LTC,731.9233316911489,632,0,1997.7155180533528,12990.862072213411,11279.151347239289,24229.708233275094
NXT-PIVX-EMC-LSK-LTC,1139.9407581468972,646,0,5346.116084835745,26384.46433934298,19400.151872245995,48482.132160468325
DCR-NAV-SBD-NLG-VTC,1120.289097930461,676,0,3735.1452338513573,19940.58093540543,16990.280821146018,43537.41036406327
NLG-MONA-XLM-DOGE-ENRG,1104.2234981274798,668,0,6016.3670948532,29065.4683794128,17415.02473473304,44998.163761626696
ERC-RBY-VRM-XMY-FLO,1527.045437238775,740,0,2369.4790217295413,14477.916086918165,20652.328703342075,46388.6385407557
ABY-SHIFT-ETH-RBY-CLAM,796.5586324486128,640,0,1953.4816996888167,12813.926798755267,11532.897607669269,27492.193351444428
GRC-ZEC-DASH-NEO-LTC,906.0647923751292,556,0,21089.386924385424,89357.5476975417,17834.755270440073,49186.43296606185
NAV-BCY-TX-LSK-IOP,1359.124095858347,778,0,3367.064157175784,18468.256628703137,19401.721437725402,39887.14078008665
AUR-GRS-LSK-XVG-FLO,5126.245147821052,882,0,25491.970025108694,106967.88010043478,71540.81703016652,212684.83983338534
